species,label,speciescn,taxid,groups,description
Abiotrophia defectiva,Both,缺陷乏养菌,46125,bacteria,缺陷乏养菌是人体呼吸道、口腔内的正常菌群，过去认为缺陷乏养菌为营养变异型链球菌，可引起心内膜炎、脑脓肿、脓毒性关节炎和菌血症的发生；引起眼部感染较为罕见，有文献报道可引起结膜炎，角膜炎，眼内炎，其引起感染的临床表现与链球菌或葡萄球菌引起的感染症状相似，有明显的浸润和炎症反应。
Acanthamoeba castellanii,Both,卡氏棘阿米巴,5755,protozoa,"卡氏棘阿米巴属于棘阿米巴 T4 基因型，广泛存在于土壤，淡水等环境中。棘阿米巴是机会致病原生生物， 可引起棘阿米巴角膜炎和棘阿米巴肉芽肿性脑炎（Acanthamoeba granulomatous encephalitis,AGE）。90%以上的棘阿米巴角膜炎和T4有关联。外伤、污水污染以及佩戴角膜接触镜是引起棘阿米巴角膜炎的重要原因。患者可出现角膜上皮病变、角膜基质浸润、放射状角膜神经炎以及角膜溃疡，严重者可导致穿孔。"
Acinetobacter baumannii,Both,鲍曼不动杆菌,470,bacteria,鲍曼不动杆菌是革兰阴性球杆菌，是医院内获得性感染的重要病原菌之一，感染主要部位为下呼吸道和泌尿道。眼科中有报道引起化脓性眼内炎，视力预后较差。
Acinetobacter bereziniae,Background,别雷斯不动杆菌,106648,bacteria,常见背景微生物
Acinetobacter haemolyticus,Both,溶血不动杆菌,29430,bacteria,溶血不动杆菌是一种条件致病菌。成人中免疫力低下、身体极度虚弱，存在严重基础病、外伤、介入治疗、长期使用激素和广谱抗菌素者均为该菌的易感人群。其引起的眼科致病报道很少，一篇研究报道2例溶血不动杆菌导致的外伤、术后眼内炎，对阿米卡星和庆大霉素敏感，预后较好。
Acinetobacter johnsonii,Both,约氏不动杆菌,40214,bacteria,约氏不动杆菌属于不动杆菌属，存在于健康人皮肤、咽部，也存在于结膜、唾液、胃肠道及阴道分泌物中，临床中很少见该菌引起人类感染。属于机会性致病菌，可在一些抵抗力较弱、具有基础性疾病的患者中引起呼吸道感染、败血症、脑膜炎、心内膜炎、伤口及皮肤感染、泌尿生殖道感染等疾病。文献报道在原发性鼻泪管阻塞的患者泪囊中分离出约氏不动杆菌。
Acinetobacter junii,Both,琼氏不动杆菌,40215,bacteria,琼氏不动杆菌为革兰氏阴性杆菌，是一种罕见的人类致病原因，机会性致病 病原体，主要影响有过抗菌素治疗、侵入性治疗或恶性肿瘤的患者。有文献报道琼氏不动杆菌感染引起的角膜溃疡。
Acinetobacter lwoffii,Background,鲁氏不动杆菌,28090,bacteria,
Acinetobacter pittii,Pathogenicity,皮特不动杆菌,48296,bacteria,皮特不动杆菌为革兰氏阴性杆菌，是鲍曼-醋酸钙不动杆菌复合体（ACB） 的成员之一，有研究表明皮特不动杆菌感染除了可引起血流感染外，还可引起空洞性肺炎，尤其是在吸烟和/或免疫功能低下的患者中。
Acinetobacter radioresistens,Both,抗辐射不动杆菌,40216,bacteria,抗辐射不动杆菌为革兰氏阴性杆菌，是环境中普遍存在的非发酵革兰氏阴性杆菌，由该病原体引起的感染案例较为少见，临床有报告该病原体可引起肺炎，败血症，创伤后眼内炎。
Acinetobacter schindleri,Background,schindleri不动杆菌属,108981,bacteria,常见背景微生物
Acinetobacter seifertii,Background,赛氏不动杆菌,1530123,bacteria,常见背景微生物
Acinetobacter soli,Background,单不动杆菌,487316,bacteria,常见背景微生物
Acinetobacter ursingii,Background,乌尔新不动杆菌,108980,bacteria,常见背景微生物
Aeromonas caviae,Pathogenicity,豚鼠气单胞菌,648,bacteria,豚鼠气单胞菌为一种革兰氏阴性，兼性厌氧菌，是气单胞菌属中较为常见的人类致病菌，可引起胃肠炎、伤口感染、血流感染、胆道感染、呼吸系统感染、泌尿系统感染、眼部感染、脑膜炎、腹膜炎及肝脓肿等。眼部感染包括角膜炎、眼内炎，豚鼠气单胞菌引起的眼内炎多为外伤或术后感染性眼内炎，但内源性的也有报道。
Aeromonas hydrophila,Pathogenicity,嗜水气单胞菌,644,bacteria,"嗜水气单胞菌属于弧菌科、气单胞菌属，是嗜温、有动力的气单胞菌群，普遍存在于淡水、污水、淤泥、土壤和人类粪便中，对水产动物、畜禽和人类均有致病性，嗜水气单胞菌是人类最常见的空气单胞菌,常与暴露于受污染的水或土壤的创伤有关。可引起软组织感染、菌血症、眼部感染等。曾有文献报道该菌在免疫功能不全患者中造成眼内炎，表现为视力下降、眼压升高、角膜水肿、晶体前渗出以及严重的前房和玻璃体腔内的炎症反应。"
Aeromonas jandaei,Pathogenicity,简氏气单胞菌,650,bacteria,简氏气单胞菌为革兰氏阴性菌，是一种机会致病菌，眼部感染文献报道很少，有1篇文献报道简氏气单胞菌引起外伤后的泪囊蜂窝组织炎。
Aeromonas veronii,Pathogenicity,维氏气单胞菌,654,bacteria,维氏气单胞菌为革兰氏阴性菌，是一种机会致病菌，但有人认为免疫功能健全者也可被感染，通常患者发生急性腹泻，也可能引起菌血症、脑膜炎和心内膜炎等。
Aggregatibacter aphrophilus,Pathogenicity,嗜沫凝聚杆菌,732,bacteria,嗜沫凝聚杆菌属于口腔革兰氏阴性微生物，通常是口腔共生微生物群的组成部分，是脑脓肿、感染性心内膜炎、脊髓硬膜外脓肿、纵膈炎、肝脓肿等疾病的罕见病因。文献描述1例嗜沫凝聚杆菌引起的源于肾脓肿的内源性眼内炎。
Alphapapillomavirus 2,Background,甲型乳头瘤viral2型,337039,viral,常见背景微生物
Alphapapillomavirus 4,Background,甲型乳头瘤viral4型,337043,viral,常见背景微生物
Alphapapillomavirus 9,Background,甲型乳头瘤viral9型,337041,viral,常见背景微生物
Alphapolyomavirus octihominis,Background,人类多瘤viral8型,1891727,viral,常见背景微生物
Alphapolyomavirus quintihominis,Background,人类多瘤viral5型,1891726,viral,常见背景微生物
Alternaria alternata,Both,互隔交链孢霉/烟草赤星病菌,5599,fungi,互隔交链孢霉是一种植物病原菌，能引起叶斑病、腐烂和枯萎，还可导致免疫力低下的上呼吸道感染和哮喘。在眼科中有报道引起fungi性角膜炎和角膜溃疡。
Alternaria arborescens,Both,乔木链格孢,156630,fungi,"乔木链格孢属于链格孢属，可存在于人类皮肤、黏膜、眼部及呼吸道，
在免疫力低下的人群中引起上呼吸道感染、过敏性哮喘、慢性鼻窦炎等疾病的发生。"
Anaerococcus hydrogenalis,Both,产氢厌氧球菌,33029,bacteria,产氢厌氧球菌是革兰氏阳性厌氧球菌，属于厌氧球菌属。常从阴道分泌物和卵巢囊肿中分离出来，临床文献提示位于肠道的此菌及其代谢产物与心血管疾病有关。
Anaerococcus prevotii,Both,普氏厌氧球菌,33034,bacteria,普氏厌氧球菌为革兰氏阳性厌氧菌，厌氧菌是人类皮肤和粘液膜的主要菌群，因此是内源性bacteria感染的常见原因。普氏厌氧球菌可以引起人体不同部位的感染，如关节炎、菌血症等。
Aspergillus flavus,Both,黄曲霉,5059,fungi,黄曲霉产生的毒素毒力很强，主要在肝脏、心肌和肌肉中逐渐积累而增强它的毒性。对肝脏的直接损伤可能导致基因畸变（畸胎或死胎），有很强的致癌性，主要是诱发肝癌。黄曲霉可引起fungi性角膜炎和fungi性眼内炎；在印度，有报道统计黄曲霉是引起fungi性眼内炎的最常见病原体。
