species	label	speciescn
[Candida] glabrata	Pathogenicity	光滑念珠菌
Abiotrophia defectiva	Both	缺陷乏养菌
Acanthamoeba castellanii	Both	卡氏棘阿米巴
Acinetobacter baumannii	Both	鲍曼不动杆菌
Acinetobacter bereziniae	Background	别雷斯不动杆菌
Acinetobacter haemolyticus	Both	溶血不动杆菌
Acinetobacter johnsonii	Both	约氏不动杆菌
Acinetobacter junii	Both	琼氏不动杆菌
Acinetobacter lwoffii	Background	鲁氏不动杆菌
Acinetobacter pittii	Pathogenicity	皮特不动杆菌
Acinetobacter radioresistens	Both	抗辐射不动杆菌
Acinetobacter schindleri	Background	schindleri不动杆菌属
Acinetobacter seifertii	Background	赛氏不动杆菌
Acinetobacter soli	Background	单不动杆菌
Acinetobacter ursingii	Background	乌尔新不动杆菌
Adeno-associated dependoparvovirus A	Background	-
Aeromonas caviae	Pathogenicity	豚鼠气单胞菌
Aeromonas hydrophila	Pathogenicity	嗜水气单胞菌
Aeromonas jandaei	Pathogenicity	简氏气单胞菌
Aeromonas veronii	Pathogenicity	维氏气单胞菌
Aggregatibacter aphrophilus	Pathogenicity	嗜沫凝聚杆菌
Alphapapillomavirus 2	Background	甲型乳头瘤病毒2型
Alphapapillomavirus 4	Background	甲型乳头瘤病毒4型
Alphapapillomavirus 9	Background	甲型乳头瘤病毒9型
Alphapolyomavirus octihominis	Background	人类多瘤病毒8型
Alphapolyomavirus quintihominis	Background	人类多瘤病毒5型
Alternaria alternata	Both	互隔交链孢霉/烟草赤星病菌
Alternaria arborescens	Both	乔木链格孢
Anaerococcus hydrogenalis	Both	产氢厌氧球菌
Anaerococcus prevotii	Both	普氏厌氧球菌
Aspergillus flavus	Both	黄曲霉
Aspergillus fumigatus	Both	烟曲霉
Aspergillus nidulans	Both	构巢曲霉
Aspergillus niger	Both	黑曲霉
Aspergillus pseudonomiae	Pathogenicity	A. pseudonomius
Aspergillus ruber	Pathogenicity	Aspergillus_ruber
Aspergillus terreus	Both	土曲霉
Aspergillus thermomutatus	Pathogenicity	Aspergillus thermomutatus
Aspergillus tubingensis	Both	塔宾曲霉
Aspergillus versicolor	Pathogenicity	花斑曲霉
Aureobasidium namibiae	Background	Aureobasidium namibiae
Aureobasidium pullulans	Background	黑酵母菌
Aureobasidium
pullulans	Pathogenicity	黑酵母菌
Bacillus altitudinis	Both	高地芽孢杆菌
Bacillus cereus	Both	蜡样芽孢杆菌
